,A_Accepted,A_Activated,A_Finalized,A_Preaccepted,A_Registered,O_Accepted,O_Cancelled,O_Created,O_Declined,O_Selected,O_Sent,O_Sent_back,W_Assess_fraude,W_Assessing_application,W_Calling_after_sent_offers,W_Calling_to_add_info_app,W_Change_contact_details,W_Filling_info_application,W_Fixing_incoming_lead
0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0
2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0
10,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
14,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
64,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
237,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1
280,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1
326,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
426,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
476,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1
659,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
842,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
1083,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1
1118,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1634,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
2099,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0
2100,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
2472,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
6547,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
6862,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
7902,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0
9875,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0
